rows,cols,noise,error,expected mag
10,4,0.0283333,4.6631e-05,872.267
10,4,0.03,6.25394e-05,1040.75
10,4,0.0316667,6.41636e-05,1343.74
10,4,0.0333333,4.88583e-05,1131.7
10,4,0.035,5.39965e-05,923.871
10,4,0.0366667,5.53039e-05,583.122
10,4,0.0383333,7.54171e-05,1091.56
10,4,0.04,0.000100563,757.448
10,4,0.0416667,8.37994e-05,1172.24
10,4,0.0433333,7.63053e-05,1254.19
10,4,0.045,7.30874e-05,1156.56
10,4,0.0466667,7.88173e-05,329.268
10,4,0.0483333,7.12913e-05,981.764
10,4,0.05,7.61855e-05,671.229
10,5,0,0,535.863
10,5,0.00166667,3.36286e-06,1019.09
10,5,0.00333333,5.83297e-06,1086.31
10,5,0.005,1.16588e-05,1007.44
10,5,0.00666667,1.36621e-05,1302.92
10,5,0.00833333,1.47638e-05,1430.55
10,5,0.01,2.147e-05,1169.41
10,5,0.0116667,2.79702e-05,1243.62
10,5,0.0133333,2.0869e-05,906.599
10,5,0.015,5.35685e-05,1415.9
10,5,0.0166667,4.06644e-05,975.984
10,5,0.0183333,4.39921e-05,976.722
10,5,0.02,3.59288e-05,1018.86
10,5,0.0216667,4.1671e-05,1088.34
10,5,0.0233333,4.13655e-05,1558.56
10,5,0.025,4.37569e-05,839.449
10,5,0.0266667,6.02645e-05,541.806
10,5,0.0283333,4.88714e-05,954.213
10,5,0.03,5.97797e-05,1363.51
10,5,0.0316667,6.30253e-05,1655.6
10,5,0.0333333,7.60514e-05,1201.06
10,5,0.035,5.7052e-05,1062.11
10,5,0.0366667,0.000101832,1447.98
10,5,0.0383333,7.13002e-05,973.428
10,5,0.04,7.27179e-05,1218.9
10,5,0.0416667,7.20875e-05,1004.18
10,5,0.0433333,0.000113211,813.499
10,5,0.045,7.22995e-05,1243.69
10,5,0.0466667,8.29685e-05,1138.83
10,5,0.0483333,0.000110559,1418.71
10,5,0.05,0.000104643,1387.89
10,5,0,0,1099.79
10,5,0.00166667,2.5312e-06,1156.24
10,5,0.00333333,7.00204e-06,1536.75
